"Status","Year","Age","Function_of_post","Organisation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2023","60-64","Property","UK Health Security Agency","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","60-64","Property","Valuation Office Agency","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","60-64","Security","Cabinet Office (excl. agencies)","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","60-64","Security","Department for International Trade","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","60-64","Security","HM Prison and Probation Service","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","60-64","Security","Northern Ireland Office","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","60-64","Unknown","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","60-64","Unknown","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","60-64","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","60-64","Unknown","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","60-64","Unknown","Royal Fleet Auxiliary","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","Analysis","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","Analysis","UK Statistics Authority","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","Commercial","Department for Education (excl. agencies)","Department for Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","Commercial","Government Commercial Organisation","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","Communications","Rural Payments Agency","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","Debt","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","Debt","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","Human Resources","Cabinet Office (excl. agencies)","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","Human Resources","Driver and Vehicle Licensing Agency","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","Legal","Crown Office and Procurator Fiscal Service","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","Legal","Crown Prosecution Service","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","Legal","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","No function","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","No function","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","No function","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","No function","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","5","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","No function","HM Courts and Tribunals Service","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","No function","HM Prison and Probation Service","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","No function","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","No function","Home Office","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","No function","UK Statistics Authority","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","Project Delivery","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","Project Delivery","Ministry of Defence (excl. agencies)","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","Unknown","Institute for Apprenticeships and Technical Education","Department for Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Digital, Data & Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Human Resources","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","No function","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","20","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","No function","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Property","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Unknown","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","30","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Analysis","Defence Science and Technology Laboratory","Ministry of Defence","15","[c]","23030","23340"
"New entrant CS","2023","16-19","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","5","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Analysis","Department for International Trade","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Analysis","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Analysis","Food Standards Agency","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Analysis","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Analysis","HM Treasury (excl. agencies)","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Analysis","Home Office","Home Office","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Analysis","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Analysis","Ministry of Defence (excl. agencies)","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Analysis","Ministry of Justice (excl. agencies)","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Analysis","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Analysis","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Analysis","UK Statistics Authority","UK Statistics Authority","10","[c]","24530","24840"
"New entrant CS","2023","16-19","Commercial","Defence Equipment and Support","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Communications","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Communications","Home Office","Home Office","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Communications","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Communications","Ministry of Defence (excl. agencies)","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Counter Fraud","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Counter Fraud","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Debt","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","10","[c]","21650","21690"
"New entrant CS","2023","16-19","Debt","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","40","[c]","22740","22520"
"New entrant CS","2023","16-19","Digital, Data & Technology","Department for Education (excl. agencies)","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Digital, Data & Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Digital, Data & Technology","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","10","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Digital, Data & Technology","Driver and Vehicle Licensing Agency","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Digital, Data & Technology","HM Land Registry","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Digital, Data & Technology","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Digital, Data & Technology","Home Office","Home Office","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Digital, Data & Technology","Met Office","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Digital, Data & Technology","Ministry of Defence (excl. agencies)","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Digital, Data & Technology","Scottish Prison Service","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Digital, Data & Technology","Serious Fraud Office","Attorney General's Departments","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Digital, Data & Technology","Submarine Delivery Agency","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Digital, Data & Technology","UK Statistics Authority","UK Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Finance","Defence Equipment and Support","Ministry of Defence","15","[c]","19460","19460"
"New entrant CS","2023","16-19","Finance","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Finance","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Finance","Driver and Vehicle Standards Agency","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Finance","Government Legal Department","Attorney General's Departments","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Finance","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","10","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Finance","Ministry of Defence (excl. agencies)","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Finance","UK Export Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Grants Management","Rural Payments Agency","Department for Environment, Food and Rural Affairs","10","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Human Resources","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Human Resources","Department for Education (excl. agencies)","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Human Resources","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Human Resources","Health and Safety Executive","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Human Resources","Ministry of Defence (excl. agencies)","Ministry of Defence","5","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Human Resources","National Crime Agency","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Human Resources","UK Statistics Authority","UK Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Legal","Attorney General's Office","Attorney General's Departments","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Legal","Crown Prosecution Service","Attorney General's Departments","45","[c]","20870","20980"
"New entrant CS","2023","16-19","Legal","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Legal","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
