"Status","Year","Age","Organisation","Parent_department","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2023","30-39","Registers of Scotland","Scottish Government","Outside London","25","[c]","31040","26410"
"New entrant CS","2023","30-39","Revenue Scotland","Scottish Government","Outside London","5","[c]","[c]","[c]"
"New entrant CS","2023","30-39","Royal Fleet Auxiliary","Ministry of Defence","Unknown","20","[c]","26690","17820"
"New entrant CS","2023","30-39","Rural Payments Agency","Department for Environment, Food and Rural Affairs","Outside London","100","[c]","24060","22150"
"New entrant CS","2023","30-39","Scottish Courts and Tribunals Service","Scottish Government","Outside London","55","[c]","28000","23190"
"New entrant CS","2023","30-39","Scottish Government (excl. agencies)","Scottish Government","Outside London","300","[c]","40200","38520"
"New entrant CS","2023","30-39","Scottish Government (excl. agencies)","Scottish Government","Overseas","[c]","[c]","[c]","[c]"
"New entrant CS","2023","30-39","Scottish Housing Regulator","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2023","30-39","Scottish Prison Service","Scottish Government","Outside London","130","[c]","27730","24710"
"New entrant CS","2023","30-39","Scottish Public Pensions Agency","Scottish Government","Outside London","20","[c]","26150","25710"
"New entrant CS","2023","30-39","Serious Fraud Office","Attorney General's Departments","London","15","[c]","51080","54230"
"New entrant CS","2023","30-39","Social Security Scotland","Scottish Government","Outside London","580","[c]","28720","29100"
"New entrant CS","2023","30-39","Standards and Testing Agency","Department for Education","London","[c]","[c]","[c]","[c]"
"New entrant CS","2023","30-39","Standards and Testing Agency","Department for Education","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2023","30-39","Student Awards Agency for Scotland","Scottish Government","Outside London","15","[c]","26170","22180"
"New entrant CS","2023","30-39","Submarine Delivery Agency","Ministry of Defence","Outside London","55","[c]","35000","33000"
"New entrant CS","2023","30-39","Teaching Regulation Agency","Department for Education","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2023","30-39","The Insolvency Service","Department for Business, Energy and Industrial Strategy","London","[c]","[c]","[c]","[c]"
"New entrant CS","2023","30-39","The Insolvency Service","Department for Business, Energy and Industrial Strategy","Outside London","15","[c]","29290","25510"
"New entrant CS","2023","30-39","The National Archives","The National Archives","London","30","[c]","35000","35000"
"New entrant CS","2023","30-39","Transport Scotland","Scottish Government","Outside London","15","[c]","38560","33520"
"New entrant CS","2023","30-39","UK Debt Management Office","HM Treasury","London","[c]","[c]","[c]","[c]"
"New entrant CS","2023","30-39","UK Export Finance","UK Export Finance","London","20","[c]","51650","49620"
"New entrant CS","2023","30-39","UK Health Security Agency","Department of Health and Social Care","London","110","[c]","46810","40880"
"New entrant CS","2023","30-39","UK Health Security Agency","Department of Health and Social Care","Outside London","160","[c]","39470","37060"
"New entrant CS","2023","30-39","UK Hydrographic Office","Ministry of Defence","Outside London","35","[c]","32950","33390"
"New entrant CS","2023","30-39","UK Space Agency","Department for Business, Energy and Industrial Strategy","London","[c]","[c]","[c]","[c]"
"New entrant CS","2023","30-39","UK Space Agency","Department for Business, Energy and Industrial Strategy","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2023","30-39","UK Statistics Authority","UK Statistics Authority","London","15","[c]","47370","39080"
"New entrant CS","2023","30-39","UK Statistics Authority","UK Statistics Authority","Outside London","235","[c]","32460","31060"
"New entrant CS","2023","30-39","UK Supreme Court","UK Supreme Court","London","5","[c]","[c]","[c]"
"New entrant CS","2023","30-39","Valuation Office Agency","HM Revenue and Customs","London","5","[c]","[c]","[c]"
"New entrant CS","2023","30-39","Valuation Office Agency","HM Revenue and Customs","Outside London","75","[c]","24780","22520"
"New entrant CS","2023","30-39","Vehicle Certification Agency","Department for Transport","Outside London","5","[c]","[c]","[c]"
"New entrant CS","2023","30-39","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","Outside London","5","[c]","[c]","[c]"
"New entrant CS","2023","30-39","Water Services Regulation Authority","Water Services Regulation Authority","London","5","[c]","[c]","[c]"
"New entrant CS","2023","30-39","Water Services Regulation Authority","Water Services Regulation Authority","Outside London","10","[c]","[c]","[c]"
"New entrant CS","2023","30-39","Welsh Government (excl. agencies)","Welsh Government","Outside London","80","[c]","37800","36590"
"New entrant CS","2023","30-39","Welsh Revenue Authority","Welsh Government","London","[c]","[c]","[c]","[c]"
"New entrant CS","2023","30-39","Wilton Park","Foreign, Commonwealth and Development Office","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2023","40-49","Active Travel England","Department for Transport","Outside London","10","[c]","[c]","[c]"
"New entrant CS","2023","40-49","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","London","[c]","[c]","[c]","[c]"
"New entrant CS","2023","40-49","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Outside London","15","[c]","27470","25160"
"New entrant CS","2023","40-49","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","London","[c]","[c]","[c]","[c]"
"New entrant CS","2023","40-49","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Outside London","90","[c]","27430","25340"
"New entrant CS","2023","40-49","Building Digital UK","Department for Digital, Culture, Media and Sport","London","[c]","[c]","[c]","[c]"
"New entrant CS","2023","40-49","Building Digital UK","Department for Digital, Culture, Media and Sport","Outside London","5","[c]","[c]","[c]"
"New entrant CS","2023","40-49","Cabinet Office (excl. agencies)","Cabinet Office","London","25","[c]","63750","56430"
"New entrant CS","2023","40-49","Cabinet Office (excl. agencies)","Cabinet Office","Outside London","55","[c]","40720","38050"
"New entrant CS","2023","40-49","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2023","40-49","Central Civil Service Fast Stream","Cabinet Office","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2023","40-49","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Outside London","10","[c]","30750","31050"
"New entrant CS","2023","40-49","Charity Commission","Charity Commission","London","[c]","[c]","[c]","[c]"
"New entrant CS","2023","40-49","Charity Commission","Charity Commission","Outside London","20","[c]","34810","30170"
"New entrant CS","2023","40-49","Companies House","Department for Business, Energy and Industrial Strategy","Outside London","75","[c]","35690","34800"
"New entrant CS","2023","40-49","Competition and Markets Authority","Competition and Markets Authority","London","10","[c]","65400","60720"
"New entrant CS","2023","40-49","Competition and Markets Authority","Competition and Markets Authority","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2023","40-49","Criminal Injuries Compensation Authority","Ministry of Justice","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2023","40-49","Crown Commercial Service","Cabinet Office","London","[c]","[c]","[c]","[c]"
"New entrant CS","2023","40-49","Crown Commercial Service","Cabinet Office","Outside London","5","[c]","[c]","[c]"
"New entrant CS","2023","40-49","Crown Office and Procurator Fiscal Service","Scottish Government","Outside London","25","[c]","32040","28700"
"New entrant CS","2023","40-49","Crown Prosecution Service","Attorney General's Departments","London","20","[c]","43560","40800"
"New entrant CS","2023","40-49","Crown Prosecution Service","Attorney General's Departments","Outside London","95","[c]","33370","32500"
"New entrant CS","2023","40-49","Defence Electronics and Components Agency","Ministry of Defence","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2023","40-49","Defence Equipment and Support","Ministry of Defence","London","[c]","[c]","[c]","[c]"
"New entrant CS","2023","40-49","Defence Equipment and Support","Ministry of Defence","Outside London","245","[c]","38510","35000"
"New entrant CS","2023","40-49","Defence Science and Technology Laboratory","Ministry of Defence","Outside London","105","[c]","38750","39890"
"New entrant CS","2023","40-49","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","London","15","[c]","63470","46110"
"New entrant CS","2023","40-49","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Outside London","20","[c]","38660","31870"
"New entrant CS","2023","40-49","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","London","5","[c]","[c]","[c]"
"New entrant CS","2023","40-49","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2023","40-49","Department for Education (excl. agencies)","Department for Education","London","10","[c]","49700","37870"
"New entrant CS","2023","40-49","Department for Education (excl. agencies)","Department for Education","Outside London","70","[c]","42310","37590"
"New entrant CS","2023","40-49","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","London","35","[c]","56650","54330"
"New entrant CS","2023","40-49","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Outside London","105","[c]","45060","49400"
"New entrant CS","2023","40-49","Department for International Trade","Department for International Trade","London","25","[c]","48170","43130"
"New entrant CS","2023","40-49","Department for International Trade","Department for International Trade","Outside London","85","[c]","41970","41910"
"New entrant CS","2023","40-49","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","London","10","[c]","57270","47510"
"New entrant CS","2023","40-49","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","Outside London","15","[c]","46780","38110"
"New entrant CS","2023","40-49","Department for Transport (excl. agencies)","Department for Transport","London","20","[c]","45430","43320"
