"Status","Year","Function_of_post","Organisation","Parent_department","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2023","No function","Ministry of Justice (excl. agencies)","Ministry of Justice","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2023","No function","Ministry of Justice (excl. agencies)","Ministry of Justice","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2023","No function","Ministry of Justice (excl. agencies)","Ministry of Justice","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2023","No function","Ministry of Justice (excl. agencies)","Ministry of Justice","Knowledge and Information Management","15","[c]","28450","29660"
"New entrant CS","2023","No function","Ministry of Justice (excl. agencies)","Ministry of Justice","Operational Delivery","80","[c]","31310","29660"
"New entrant CS","2023","No function","Ministry of Justice (excl. agencies)","Ministry of Justice","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2023","No function","Ministry of Justice (excl. agencies)","Ministry of Justice","Policy","100","[c]","35560","35410"
"New entrant CS","2023","No function","Ministry of Justice (excl. agencies)","Ministry of Justice","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2023","No function","Ministry of Justice (excl. agencies)","Ministry of Justice","Unknown","10","[c]","[c]","[c]"
"New entrant CS","2023","No function","National Crime Agency","National Crime Agency","Operational Delivery","385","[c]","37660","36040"
"New entrant CS","2023","No function","National Infrastructure Commission","HM Treasury","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2023","No function","National Infrastructure Commission","HM Treasury","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2023","No function","National Savings and Investments","Chancellor's other departments","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2023","No function","National Savings and Investments","Chancellor's other departments","Other","5","[c]","[c]","[c]"
"New entrant CS","2023","No function","National Savings and Investments","Chancellor's other departments","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2023","No function","Office for Budget Responsibility","HM Treasury","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2023","No function","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","Inspector of Education and Training","275","[c]","62690","52750"
"New entrant CS","2023","No function","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","Operational Delivery","25","[c]","23390","22490"
"New entrant CS","2023","No function","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","Other","45","[c]","25220","22490"
"New entrant CS","2023","No function","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","Policy","20","[c]","36790","33130"
"New entrant CS","2023","No function","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Operational Delivery","105","[c]","26950","25000"
"New entrant CS","2023","No function","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Policy","80","[c]","43900","38000"
"New entrant CS","2023","No function","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2023","No function","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","Communications","5","[c]","[c]","[c]"
"New entrant CS","2023","No function","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2023","No function","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2023","No function","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","Operational Delivery","30","[c]","39200","33660"
"New entrant CS","2023","No function","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","Operational Research","10","[c]","[c]","[c]"
"New entrant CS","2023","No function","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2023","No function","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2023","No function","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2023","No function","Office of Rail and Road","Office of Rail and Road","Operational Delivery","15","[c]","40430","30920"
"New entrant CS","2023","No function","Office of Rail and Road","Office of Rail and Road","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2023","No function","Office of Rail and Road","Office of Rail and Road","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2023","No function","Office of the Public Guardian","Ministry of Justice","Operational Delivery","320","[c]","22240","21780"
"New entrant CS","2023","No function","Office of the Public Guardian","Ministry of Justice","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2023","No function","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2023","No function","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","Policy","5","[c]","[c]","[c]"
"New entrant CS","2023","No function","Office of the Secretary of State for Wales","Office of the Secretary of State for Wales","Policy","5","[c]","[c]","[c]"
"New entrant CS","2023","No function","Planning Inspectorate","Department for Levelling Up, Housing and Communities","Knowledge and Information Management","5","[c]","[c]","[c]"
"New entrant CS","2023","No function","Planning Inspectorate","Department for Levelling Up, Housing and Communities","Operational Delivery","45","[c]","24460","21960"
"New entrant CS","2023","No function","Planning Inspectorate","Department for Levelling Up, Housing and Communities","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2023","No function","Planning Inspectorate","Department for Levelling Up, Housing and Communities","Planning Inspectors","85","[c]","48840","43740"
"New entrant CS","2023","No function","Planning Inspectorate","Department for Levelling Up, Housing and Communities","Psychology","[c]","[c]","[c]","[c]"
"New entrant CS","2023","No function","Registers of Scotland","Scottish Government","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2023","No function","Registers of Scotland","Scottish Government","Operational Delivery","35","[c]","26180","24010"
"New entrant CS","2023","No function","Scottish Courts and Tribunals Service","Scottish Government","Operational Delivery","190","[c]","23800","23190"
"New entrant CS","2023","No function","Scottish Prison Service","Scottish Government","Operational Delivery","295","[c]","26520","24710"
"New entrant CS","2023","No function","Scottish Prison Service","Scottish Government","Other","40","[c]","27070","22920"
"New entrant CS","2023","No function","Scottish Prison Service","Scottish Government","Psychology","[c]","[c]","[c]","[c]"
"New entrant CS","2023","No function","Serious Fraud Office","Attorney General's Departments","Other","5","[c]","[c]","[c]"
"New entrant CS","2023","No function","Teaching Regulation Agency","Department for Education","Operational Delivery","10","[c]","[c]","[c]"
"New entrant CS","2023","No function","The Insolvency Service","Department for Business, Energy and Industrial Strategy","Operational Delivery","45","[c]","25540","22180"
"New entrant CS","2023","No function","The National Archives","The National Archives","Knowledge and Information Management","15","[c]","27790","24990"
"New entrant CS","2023","No function","The National Archives","The National Archives","Operational Delivery","35","[c]","27140","23460"
"New entrant CS","2023","No function","The National Archives","The National Archives","Other","10","[c]","33550","31500"
"New entrant CS","2023","No function","UK Debt Management Office","HM Treasury","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2023","No function","UK Debt Management Office","HM Treasury","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2023","No function","UK Health Security Agency","Department of Health and Social Care","Medicine","55","[c]","91170","92780"
"New entrant CS","2023","No function","UK Health Security Agency","Department of Health and Social Care","Operational Delivery","640","[c]","38980","33730"
"New entrant CS","2023","No function","UK Health Security Agency","Department of Health and Social Care","Science and Engineering","105","[c]","30320","27690"
"New entrant CS","2023","No function","UK Hydrographic Office","Ministry of Defence","Geography","50","[c]","27450","27610"
"New entrant CS","2023","No function","UK Hydrographic Office","Ministry of Defence","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2023","No function","UK Hydrographic Office","Ministry of Defence","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2023","No function","UK Hydrographic Office","Ministry of Defence","Other","15","[c]","36210","34370"
"New entrant CS","2023","No function","UK Statistics Authority","UK Statistics Authority","Geography","[c]","[c]","[c]","[c]"
"New entrant CS","2023","No function","UK Statistics Authority","UK Statistics Authority","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2023","No function","UK Statistics Authority","UK Statistics Authority","Operational Delivery","500","[c]","23780","21200"
"New entrant CS","2023","No function","UK Statistics Authority","UK Statistics Authority","Policy","20","[c]","30970","27950"
"New entrant CS","2023","No function","Vehicle Certification Agency","Department for Transport","Operational Delivery","15","[c]","25250","22500"
"New entrant CS","2023","No function","Vehicle Certification Agency","Department for Transport","Science and Engineering","10","[c]","30670","27240"
